t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
1.36000000000000000e+03,5.95316264000375213e+03,3.35133767829710028e+00,1.82118363941461645e+01,2,3.99855842569118707e+01,4.13950255094829771e+01,3.61460548981553984e+03
1.37000000000000000e+03,5.98673069392550860e+03,3.36263880719554820e+00,1.77906444409240194e+01,2,3.99882771392912559e+01,4.18260898049051448e+01,3.61464307328042560e+03
1.38000000000000000e+03,6.02041282822912126e+03,3.37363978204532389e+00,1.73719843731363852e+01,2,3.99890480014168475e+01,4.22571745037722479e+01,3.61468088535259449e+03
1.39000000000000000e+03,6.05420219625185473e+03,3.38434498682976370e+00,1.69558330808716811e+01,2,3.99878967910670085e+01,4.26882529818536156e+01,3.61471892452221437e+03
1.40000000000000000e+03,6.08809753460568299e+03,3.39475986712346955e+00,1.65421671115347984e+01,2,3.99848236953038736e+01,4.31192986175844979e+01,3.61475718926166883e+03
1.41000000000000000e+03,6.12209760554002332e+03,3.40488368306945377e+00,1.61309627128783681e+01,2,3.99798291403705903e+01,4.35502848053102838e+01,3.61479567802562997e+03
1.42000000000000000e+03,6.15619410405429335e+03,3.41472451880170880e+00,1.57221958733807714e+01,2,3.99729137914521075e+01,4.39811849685118545e+01,3.61483438925112205e+03
1.43000000000000000e+03,6.19039082648930071e+03,3.42428924082685748e+00,1.53158423601115778e+01,2,3.99640785522998456e+01,4.44119725729973212e+01,3.61487332135758334e+03
1.44000000000000000e+03,6.22468068773144023e+03,3.43358197262528320e+00,1.49118777542198817e+01,2,3.99533245647209867e+01,4.48426211400440522e+01,3.61491247274694251e+03
1.45000000000000000e+03,6.25906123771325656e+03,3.44260503432817222e+00,1.45102774841727165e+01,2,3.99406532079327690e+01,4.52731042594762982e+01,3.61495184180368597e+03
1.46000000000000000e+03,6.29353240707363511e+03,3.45136234648168827e+00,1.41110168568654366e+01,2,3.99260660977828792e+01,4.57033956026629156e+01,3.61499142689493237e+03
1.47000000000000000e+03,6.32808691528437885e+03,3.45986295874171734e+00,1.37140710867191924e+01,2,3.99095650858369382e+01,4.61334689354209786e+01,3.61503122637051092e+03
1.48000000000000000e+03,6.36272701900929496e+03,3.46810850642875090e+00,1.33194153228753027e+01,2,3.98911522583341736e+01,4.65632981308096987e+01,3.61507123856303588e+03
1.49000000000000000e+03,6.39744833495052353e+03,3.47610347449608392e+00,1.29270246745906139e+01,2,3.98708299350130773e+01,4.69928571818006517e+01,3.61511146178799027e+03
1.50000000000000000e+03,6.43224999584292709e+03,3.48385105616973512e+00,1.25368742349323377e+01,2,3.98486006678080997e+01,4.74221202138102740e+01,3.61515189434380591e+03
1.51000000000000000e+03,6.46712589637471956e+03,3.49135669515258984e+00,1.21489391028664997e+01,2,3.98244672394195618e+01,4.78510614970801598e+01,3.61519253451194163e+03
1.52000000000000000e+03,6.50207568983886540e+03,3.49862164900576289e+00,1.17631944038287735e+01,2,3.97984326617585822e+01,4.82796554588922930e+01,3.61523338055698696e+03
1.53000000000000000e+03,6.53709760879576697e+03,3.50565445933548903e+00,1.13796153088620233e+01,2,3.97705001742689390e+01,4.87078766956053855e+01,3.61527443072672395e+03
1.54000000000000000e+03,6.57218791836069340e+03,3.51245436153599933e+00,1.09981770524009992e+01,2,3.97406732421282456e+01,4.91356999844997162e+01,3.61531568325224725e+03
1.55000000000000000e+03,6.60734667346696551e+03,3.51903014664695890e+00,1.06188549487798412e+01,2,3.97089555543308776e+01,4.95631002954179891e+01,3.61535713634803506e+03
1.56000000000000000e+03,6.64256724465289699e+03,3.52538184518989617e+00,1.02416244075342266e+01,2,3.96753510216549827e+01,4.99900528021904051e+01,3.61539878821204366e+03
3.95000000000000000e+03,6.64336926356426557e+03,-3.52165664590651772e+00,1.03739870692957030e+01,1,-1.96820507915482068e+00,1.23803071444010442e+02,3.62565401210191885e+03
3.96000000000000000e+03,6.60818034492020251e+03,-3.51596897126976282e+00,1.07525885923965596e+01,1,-2.20039797036261753e+00,1.24038674502547636e+02,3.62567567748355759e+03
3.97000000000000000e+03,6.57304982873294921e+03,-3.51006266170567871e+00,1.11333678871498041e+01,1,-2.43253825266745949e+00,1.24274362720093933e+02,3.62569702329415122e+03
