Time(s),Range(km),Range_Rate(km/s),Station_ID
5150.0,3852.14803489436508,0.00778170990273,1
5160.0,3852.50519599562722,0.06308371923548,1
5170.0,3853.41042121894816,0.11835949644979,1
5180.0,3854.87245213907136,0.17358039043572,1
5190.0,3856.88099301530929,0.22873154929131,1
5200.0,3859.44487710700469,0.28377509956727,1
5210.0,3862.55756931232463,0.33868952837979,1
5220.0,3866.21777018201965,0.39345335325543,1
5230.0,3870.42587160449511,0.44804012454818,1
5240.0,3875.17695998052022,0.50242344237975,1
5250.0,3880.47251133322652,0.55658482333595,1
5260.0,3886.31023250921453,0.61049802413401,1
5270.0,3892.68381670894905,0.66413577365436,1
5280.0,3899.58934777404420,0.71748387056584,1
5290.0,3907.03098729019848,0.77051563520042,1
5300.0,3915.00106401828953,0.82321313356306,1
5310.0,3923.49525370072797,0.87555391080740,1
5320.0,3932.50887430220655,0.92751707161500,1
5330.0,3942.04129897260464,0.97908809601930,1
5340.0,3952.08970998979476,1.03024378821334,1
5350.0,3962.64657699168038,1.08096949709918,1
5360.0,3973.70820641949376,1.13124590956698,1
5370.0,3985.27024525937622,1.18106234088083,1
5380.0,3997.32715970717845,1.23039887223355,1
5390.0,4009.87625137468285,1.27924445624656,1
5400.0,4022.91134693458616,1.32758293611856,1
5410.0,4036.42720045657734,1.37540473108644,1
5420.0,4050.41808880389226,1.42269732419433,1
5430.0,4064.87838532569049,1.46944411090843,1
5440.0,4079.80331892064532,1.51564478631760,1
5450.0,4095.18991767611715,1.56128120924015,1
5460.0,4111.02896197817608,1.60635062663061,1
5470.0,4127.31444342572195,1.65084063949806,1
5480.0,4144.04293152700211,1.69474808065615,1
5490.0,4161.20587643208819,1.73806609144746,1
5500.0,4178.80339977746462,1.78078772104993,1
5510.0,4196.82174838325591,1.82291070922077,1
5520.0,4215.25741776117047,1.86442723592773,1
5530.0,4234.10759078893898,1.90533694966276,1
5540.0,4253.36365684302018,1.94563562345190,1
5550.0,4273.01757871679729,1.98532148007579,1
5560.0,4293.06623380678229,2.02439552211424,1
5570.0,4313.50477108122050,2.06285070513652,1
5580.0,4334.32315025134267,2.10069394414249,1
5590.0,4355.51676092917478,2.13792291002999,1
5600.0,4377.07767545136448,2.17453401909776,1
5610.0,4399.00541444065675,2.21053508755221,1
5620.0,4421.28679938328605,2.24592737288535,1
5630.0,4443.92096958520324,2.28070604404745,1
5640.0,4466.89813910082103,2.31488023716616,1
5650.0,4490.21731190250284,2.34845339176047,1
5660.0,4513.86511748104203,2.38142591568563,1
5670.0,4537.84249596221980,2.41379957798552,1
5680.0,4562.14087179521994,2.44558538650237,1
5690.0,4586.75402721541286,2.47678222508256,1
5700.0,4611.67487484271896,2.50739531243393,1
5710.0,4636.89810596456755,2.53743051624772,1
5720.0,4662.42133445390573,2.56689464777113,1
5730.0,4688.23432592146946,2.59579001782682,1
5740.0,4714.33494067079027,2.62412419391596,1
5750.0,4740.71596116112232,2.65190330802200,1
5760.0,4767.37323584879687,2.67913035081269,1
5770.0,4794.29537019506279,2.70581805238157,1
5780.0,4821.48626455591057,2.73196521812623,1
5790.0,4848.93461608045163,2.75758195346889,1
5800.0,4876.63597339627086,2.78267438334312,1
5810.0,4904.58558738824922,2.80724880607021,1
5820.0,4932.78096790005748,2.83131152426514,1
5830.0,4961.21191213919610,2.85487213582892,1
5840.0,4989.87474965305228,2.87793000337713,1
5850.0,5018.76708550653711,2.90050196637826,1
5860.0,5047.88231172677661,2.92258909647461,1
5870.0,5077.21816772322563,2.94419777910090,1
5880.0,5106.76750701201763,2.96533457143023,1
5890.0,5136.52215317603986,2.98601265251274,1
5900.0,5166.48384251990865,3.00623161102187,1
5910.0,5196.64614842400260,3.02600068007516,1
5920.0,5227.00172529573319,3.04532694260462,1
5930.0,5257.55079192132507,3.06421836444611,1
5940.0,5288.28700390292852,3.08268029052365,1
5950.0,5319.20265076389205,3.10071911893200,1
5960.0,5350.30054756642403,3.11834291872046,1
5970.0,5381.56762752557461,3.13555596310143,1
5980.0,5413.00785712126526,3.15236825516064,1
5990.0,5444.61356878815968,3.16878468532449,1
6000.0,5476.38342278705204,3.18481239823560,1
6010.0,5508.31027724269279,3.20045342103800,1
6020.0,5540.39124997885847,3.21572344936822,1
6030.0,5572.62217934667206,3.23062082387058,1
6040.0,5605.00008048710515,3.24514952870970,1
6050.0,5637.52548229406602,3.25932602767771,1
6060.0,5670.18962396781626,3.27314667537375,1
6070.0,5702.98733512541821,3.28662354391017,1
6080.0,5735.91886111396434,3.29975842923265,1
6090.0,5768.98169791139208,3.31256051889440,1
6100.0,5802.16812235413090,3.32502775844221,1
6110.0,5835.48112138009856,3.33717803799611,1
6120.0,5868.91153575779936,3.34900784655241,1
6130.0,5902.45743928791126,3.36052534691689,1
6140.0,5936.12188159736161,3.37173742267107,1
6150.0,5969.89179827712633,3.38264417964992,1
6160.0,6003.77405159228692,3.39325676159338,1
6170.0,6037.75824725438724,3.40357932733686,1
6180.0,6071.84440748197267,3.41361446645858,1
6190.0,6106.02916786013611,3.42336465334578,1
6200.0,6140.30945510406309,3.43283850113958,1
6210.0,6174.68425567242593,3.44204421166609,1
6220.0,6209.15174923592531,3.45097834775109,1
6230.0,6243.70183982294839,3.45965392723401,1
6240.0,6278.34227630405439,3.46806622353761,1
6250.0,6313.06420164147403,3.47622766912561,1
6260.0,6347.86710769250021,3.48413853584767,1
6270.0,6382.74617939165637,3.49180327831720,1
6280.0,6417.69975962658009,3.49922478662705,1
6290.0,6452.72963242095375,3.50641302995750,1
6300.0,6487.82893362913910,3.51336684147556,1
6310.0,6522.99659220473040,3.52009114700066,1
6320.0,6558.22836032694522,3.52658773304832,1
6330.0,6593.52806770354618,3.53286292125245,1
6340.0,6628.88524796691945,3.53892258353282,1
6350.0,6664.30333143603002,3.54476507439847,1
9970.0,6657.74391473321521,-3.62743348144161,2
9980.0,6621.48970595690753,-3.62296182929555,2
9990.0,6585.28296712842166,-3.61829412571256,2
10000.0,6549.12472202817480,-3.61342643524723,2
10010.0,6513.01637470081641,-3.60835878995468,2
10020.0,6476.95816176478093,-3.60308330038853,2
10030.0,6440.95526658418112,-3.59760142704437,2
10040.0,6405.00796604135394,-3.59190328593525,2
