Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
1110.0000,8.6444079161e-01,8.8159204566e-01,-1.0380058922e-01,-1.9849785639e-04,5.5465340743e-04,-2.0406425280e-04
1120.0000,8.6245659958e-01,8.8711346147e-01,-1.0585516662e-01,-1.9833007789e-04,5.4962802261e-04,-2.0685714746e-04
1130.0000,8.6047439770e-01,8.9258457385e-01,-1.0793784856e-01,-1.9809956175e-04,5.4459279586e-04,-2.0968535392e-04
1140.0000,8.5849481745e-01,8.9800528804e-01,-1.1004899064e-01,-1.9780555839e-04,5.3954848326e-04,-2.1254930624e-04
1150.0000,8.5651849792e-01,9.0337551686e-01,-1.1218895287e-01,-1.9744732339e-04,5.3449585976e-04,-2.1544943216e-04
1160.0000,8.5454608556e-01,9.0869518101e-01,-1.1435809949e-01,-1.9702411771e-04,5.2943571913e-04,-2.1838615294e-04
1170.0000,8.5257823411e-01,9.1396420922e-01,-1.1655679885e-01,-1.9653520797e-04,5.2436887388e-04,-2.2135988314e-04
1180.0000,8.5061560442e-01,9.1918253850e-01,-1.1878542325e-01,-1.9597986663e-04,5.1929615511e-04,-2.2437103047e-04
1190.0000,8.4865886441e-01,9.2435011436e-01,-1.2104434884e-01,-1.9535737228e-04,5.1421841250e-04,-2.2741999559e-04
1200.0000,8.4670868895e-01,9.2946689094e-01,-1.2333395557e-01,-1.9466700987e-04,5.0913651414e-04,-2.3050717191e-04
1210.0000,8.4476575981e-01,9.3453283125e-01,-1.2565462710e-01,-1.9390807096e-04,5.0405134646e-04,-2.3363294544e-04
1220.0000,8.4283076568e-01,9.3954790730e-01,-1.2800675077e-01,-1.9307985396e-04,4.9896381408e-04,-2.3679769457e-04
1230.0000,8.4090440212e-01,9.4451210031e-01,-1.3039071758e-01,-1.9218166439e-04,4.9387483975e-04,-2.4000178990e-04
1240.0000,8.3898737160e-01,9.4942540079e-01,-1.3280692221e-01,-1.9121281511e-04,4.8878536416e-04,-2.4324559405e-04
1250.0000,8.3708038353e-01,9.5428780873e-01,-1.3525576299e-01,-1.9017262660e-04,4.8369634584e-04,-2.4652946149e-04
1260.0000,8.3518415437e-01,9.5909933370e-01,-1.3773764203e-01,-1.8906042718e-04,4.7860876103e-04,-2.4985373833e-04
1270.0000,8.3329940765e-01,9.6385999500e-01,-1.4025296522e-01,-1.8787555329e-04,4.7352360353e-04,-2.5321876213e-04
1280.0000,8.3142687418e-01,9.6856982170e-01,-1.4280214233e-01,-1.8661734974e-04,4.6844188451e-04,-2.5662486176e-04
1290.0000,8.2956729208e-01,9.7322885279e-01,-1.4538558713e-01,-1.8528516994e-04,4.6336463244e-04,-2.6007235714e-04
1300.0000,8.2772140701e-01,9.7783713723e-01,-1.4800371751e-01,-1.8387837621e-04,4.5829289283e-04,-2.6356155912e-04
1310.0000,8.2588997236e-01,9.8239473400e-01,-1.5065695564e-01,-1.8239633998e-04,4.5322772817e-04,-2.6709276926e-04
