station,t,rho_km,rho_dot_km_s,elev_rad
Station 1,5280.0,3899.5825626441683,0.7175589824439107,1.0936947992711539
Station 1,5290.0,3907.025443857336,0.7705913685620867,1.0874921542041593
Station 1,5300.0,3914.994560427778,0.8232846943538201,1.0809505520550085
Station 1,5310.0,3923.4891112021696,0.8756253998288643,1.0740888328689107
Station 1,5320.0,3932.5046516456055,0.9275912166705306,1.0669257236592808
Station 1,5330.0,3942.040399440738,0.9791589753971351,1.0594797165484768
Station 1,5340.0,3952.0877268876575,1.0303156156422946,1.0517689650514752
Station 1,5350.0,3962.644012315141,1.0810410118686828,1.0438111977238897
Station 1,5360.0,3973.7071400703308,1.1313200111754518,1.0356236480475964
Station 1,5370.0,3985.2681999463166,1.18113457418993,1.0272229991960933
Station 1,5380.0,3997.326386646283,1.2304722984451606,1.0186253421905793
Station 1,5390.0,4009.8769333883943,1.2793168524275502,1.0098461459084782
Station 1,5400.0,4022.912392763843,1.3276555799896654,1.000900237420554
Station 1,5410.0,4036.4288507097976,1.3754769258345603,0.9918017911943027
Station 1,5420.0,4050.4201538291913,1.4227666851361958,0.9825643257953485
Station 1,5430.0,4064.8832029124032,1.4695151634492534,0.9732007068329814
Station 1,5440.0,4079.807289594256,1.5157143307378507,0.9637231550209174
Station 1,5450.0,4095.19495039733,1.5613507743545514,0.9541432583525217
Station 1,5460.0,4111.033943934305,1.6064204461522154,0.9444719875153408
Station 1,5470.0,4127.322213654712,1.6509109461611116,0.9347197137893014
Station 1,5480.0,4144.050119450633,1.694818021003792,0.9248962287836886
Station 1,5490.0,4161.21557486276,1.7381367968177452,0.9150107654687222
Station 1,5500.0,4178.812481294165,1.7808570598809212,0.9050720200476409
Station 1,5510.0,4196.831194509176,1.8229782111769217,0.895088174294639
Station 1,5520.0,4215.268877055935,1.8644961852044941,0.8850669180531697
Station 1,5530.0,4234.1178789804735,1.9054044967761423,0.8750154716488195
Station 1,5540.0,4253.374446949921,1.9457026042972008,0.8649406080218232
Station 1,5550.0,4273.02861689812,1.9853886824601201,0.8548486744273402
Station 1,5560.0,4293.079175983267,2.024459662066705,0.8447456135876845
Station 1,5570.0,4313.518061427287,2.0629164917773997,0.8346369842106991
Station 1,5580.0,4334.3345239689315,2.100757112676966,0.8245279808131689
Station 1,5590.0,4355.530628292047,2.1379846592596885,0.8144234527988685
Station 1,5600.0,4377.093983808488,2.174597729855479,0.8043279227692117
Station 1,5610.0,4399.020849247338,2.210599483610031,0.7942456041128657
Station 1,5620.0,4421.302202176667,2.245986728061367,0.7841804177715068
Station 1,5630.0,4443.936150504851,2.280768011745859,0.7741360082536927
Station 1,5640.0,4466.918343027993,2.314942214171746,0.7641157588970704
Station 1,5650.0,4490.235118488952,2.3485131127181504,0.754122806395789
Station 1,5660.0,4513.885899669061,2.381484938221869,0.7441600546145356
Station 1,5670.0,4537.864316428656,2.4138578542098257,0.734230187713086
Station 1,5680.0,4562.160872901115,2.4456439420055256,0.7243356826068512
Station 1,5690.0,4586.771626078434,2.4768371950145247,0.7144788207898922
Station 1,5700.0,4611.6952095963925,2.5074510677744235,0.7046616995473024
Station 1,5710.0,4636.921508435524,2.537487024877218,0.694886242583943
Station 1,5720.0,4662.442917352823,2.5669487496720658,0.6851542100962358
Station 1,5730.0,4688.257477456764,2.5958432757966374,0.6754672083132431
Station 1,5740.0,4714.357757017845,2.6241758642363546,0.6658266985325932
Station 1,5750.0,4740.740958445388,2.6519559152091245,0.6562340056760275
Station 1,5760.0,4767.396891711034,2.679185791784701,0.6466903263884834
Station 1,5770.0,4794.319555025559,2.7058701352729777,0.6371967367036852
Station 1,5780.0,4821.51313893097,2.732013879338938,0.6277541992982738
Station 1,5790.0,4848.959141954176,2.7576325604776293,0.6183635703555286
Station 1,5800.0,4876.664159315821,2.7827243408503373,0.6090256060587856
Station 1,5810.0,4904.611355776319,2.807296693867887,0.5997409687336889
Station 1,5820.0,4932.807486221045,2.8313593747070804,0.5905102326575039
Station 1,5830.0,4961.23763142652,2.854917968326217,0.5813338895527999
Station 1,5840.0,4989.902942866519,2.87797818612986,0.5722123537819633
Station 1,5850.0,5018.797027383229,2.900548173829851,0.5631459672581568
Station 1,5860.0,5047.911720127225,2.9226334204154885,0.554135004087533
Station 1,5870.0,5077.247555590223,2.9442436783085224,0.5451796749567794
Station 1,5880.0,5106.796056181333,2.965380359126764,0.536280131279301
Station 1,5890.0,5136.554508516213,2.986055373873732,0.5274364691127023
Station 1,5900.0,5166.516713578807,3.0062724852429366,0.5186487328595395
Station 1,5910.0,5196.679186582439,3.0260431707950457,0.5099169187627165
Station 1,5920.0,5227.035041506011,3.045368781817463,0.5012409782062831
Station 1,5930.0,5257.5836526510375,3.0642581060620246,0.49262082083186515
Station 1,5940.0,5288.31793269961,3.082719911899739,0.484056317480404
Station 1,5950.0,5319.235485343877,3.100759347567517,0.4755473029668903
Station 1,5960.0,5350.330985108267,3.118382945542007,0.46709357867399487
Station 1,5970.0,5381.602313486389,3.135598090703869,0.45869491505111665
Station 1,5980.0,5413.04305163457,3.152410698422909,0.4503510539427333
Station 1,5990.0,5444.649400999289,3.168823394031697,0.4420617107772391
Station 1,6000.0,5476.418642826348,3.184848377084011,0.4338265766364709
Station 1,6010.0,5508.343742598119,3.200492821438044,0.4256453202055288
Station 1,6020.0,5540.428402275323,3.21575827974951,0.41751758960924384
Station 1,6030.0,5572.659353169211,3.230654927526433,0.40944301414130047
Station 1,6040.0,5605.039647249216,3.245187234708388,0.40142120589172453
Station 1,6050.0,5637.561926351466,3.259359891859509,0.39345176127814757
Station 1,6060.0,5670.22369879882,3.273181117533345,0.385534262485995
Station 1,6070.0,5703.023718681888,3.286655668427891,0.37766827882247106
Station 1,6080.0,5735.953257366098,3.299789296830811,0.369853367988964
Station 1,6090.0,5769.018947442471,3.3125889811838234,0.3620890772762723
Station 1,6100.0,5802.207191332157,3.325059754639706,0.35437494468680675
Station 1,6110.0,5835.520088492621,3.337209185775498,0.3467104999877335
Station 1,6120.0,5868.948616400696,3.349037938029187,0.3390952656988009
Station 1,6130.0,5902.49852164362,3.360556232306201,0.3315287580184089
Station 1,6140.0,5936.160156433763,3.371765406775695,0.3240104876912996
Station 1,6150.0,5969.931649710806,3.382674071535162,0.3165399608210717
Station 1,6160.0,6003.81149300293,3.393286528401033,0.30911667963054856
Station 1,6170.0,6037.796490076666,3.4036063894463036,0.30174014317288933
Station 1,6180.0,6071.885119306139,3.413639015012334,0.2944098479961655
Station 1,6190.0,6106.070514661027,3.4233910813085657,0.287125288764
Station 1,6200.0,6140.349614745414,3.432867425602593,0.27988595883471834
Station 1,6210.0,6174.725799634079,3.4420680334059544,0.2726913508013453
Station 1,6220.0,6209.192039595229,3.4510063681227043,0.26554095699464175
Station 1,6230.0,6243.745527688729,3.4596783886136313,0.25843426995128843
Station 1,6240.0,6278.382748318165,3.4680921633665425,0.25137078284918474
