Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
790.0000,6.1883658151e-01,7.9153852690e+00,2.6409310012e-01,-1.3438381324e-03,9.9341577349e-03,1.0308145143e-03
800.0000,6.0524837394e-01,8.0146714038e+00,2.7452488546e-01,-1.3738363105e-03,9.9229804417e-03,1.0555670305e-03
810.0000,5.9135920913e-01,8.1138430897e+00,2.8520491805e-01,-1.4040283007e-03,9.9112667240e-03,1.0804627110e-03
820.0000,5.7716718760e-01,8.2128949258e+00,2.9613459181e-01,-1.4344063642e-03,9.8990092518e-03,1.1054940084e-03
830.0000,5.6267048774e-01,8.3118214384e+00,3.0731522491e-01,-1.4649626485e-03,9.8862008803e-03,1.1306533055e-03
840.0000,5.4786736708e-01,8.4106170838e+00,3.1874805899e-01,-1.4956891896e-03,9.8728346512e-03,1.1559329175e-03
850.0000,5.3275616333e-01,8.5092762493e+00,3.3043425848e-01,-1.5265779135e-03,9.8589037951e-03,1.1813250941e-03
860.0000,5.1733529547e-01,8.6077932557e+00,3.4237491004e-01,-1.5576206390e-03,9.8444017332e-03,1.2068220212e-03
870.0000,5.0160326482e-01,8.7061623587e+00,3.5457102183e-01,-1.5888090791e-03,9.8293220792e-03,1.2324158234e-03
880.0000,4.8555865610e-01,8.8043777513e+00,3.6702352300e-01,-1.6201348438e-03,9.8136586411e-03,1.2580985655e-03
890.0000,4.6920013844e-01,8.9024335656e+00,3.7973326302e-01,-1.6515894416e-03,9.7974054228e-03,1.2838622549e-03
900.0000,4.5252646637e-01,9.0003238745e+00,3.9270101117e-01,-1.6831642822e-03,9.7805566259e-03,1.3096988432e-03
910.0000,4.3553648085e-01,9.0980426941e+00,4.0592745596e-01,-1.7148506784e-03,9.7631066516e-03,1.3356002291e-03
920.0000,4.1822911015e-01,9.1955839856e+00,4.1941320463e-01,-1.7466398484e-03,9.7450501020e-03,1.3615582595e-03
930.0000,4.0060337085e-01,9.2929416569e+00,4.3315878264e-01,-1.7785229179e-03,9.7263817816e-03,1.3875647323e-03
940.0000,3.8265836871e-01,9.3901095653e+00,4.4716463322e-01,-1.8104909225e-03,9.7070966995e-03,1.4136113982e-03
950.0000,3.6439329956e-01,9.4870815190e+00,4.6143111684e-01,-1.8425348100e-03,9.6871900700e-03,1.4396899626e-03
960.0000,3.4580745020e-01,9.5838512796e+00,4.7595851086e-01,-1.8746454425e-03,9.6666573149e-03,1.4657920882e-03
970.0000,3.2690019918e-01,9.6804125636e+00,4.9074700902e-01,-1.9068135989e-03,9.6454940644e-03,1.4919093967e-03
980.0000,3.0767101771e-01,9.7767590453e+00,5.0579672114e-01,-1.9390299770e-03,9.6236961584e-03,1.5180334714e-03
990.0000,2.8811947036e-01,9.8728843580e+00,5.2110767266e-01,-1.9712851961e-03,9.6012596483e-03,1.5441558587e-03
1000.0000,2.6824521593e-01,9.9687820970e+00,5.3667980432e-01,-2.0035697991e-03,9.5781807979e-03,1.5702680707e-03
1010.0000,2.4804800816e-01,1.0064445821e+01,5.5251297179e-01,-2.0358742552e-03,9.5544560849e-03,1.5963615872e-03
1020.0000,2.2752769647e-01,1.0159869055e+01,5.6860694540e-01,-2.0681889619e-03,9.5300822017e-03,1.6224278581e-03
1030.0000,2.0668422672e-01,1.0255045291e+01,5.8496140977e-01,-2.1005042477e-03,9.5050560569e-03,1.6484583051e-03
1040.0000,1.8551764184e-01,1.0349967992e+01,6.0157596359e-01,-2.1328103744e-03,9.4793747764e-03,1.6744443243e-03
1050.0000,1.6402808235e-01,1.0444630594e+01,6.1845011948e-01,-2.1650975397e-03,9.4530357043e-03,1.7003772882e-03
1060.0000,1.4221578709e-01,1.0539026506e+01,6.3558330370e-01,-2.1973558792e-03,9.4260364039e-03,1.7262485479e-03
1070.0000,1.2008109391e-01,1.0633149114e+01,6.5297485588e-01,-2.2295754694e-03,9.3983746591e-03,1.7520494353e-03
1080.0000,9.7624440140e-02,1.0726991784e+01,6.7062402888e-01,-2.2617463300e-03,9.3700484745e-03,1.7777712654e-03
1090.0000,7.4846363197e-02,1.0820547863e+01,6.8852998865e-01,-2.2938584263e-03,9.3410560772e-03,1.8034053383e-03
1100.0000,5.1747501100e-02,1.0913810680e+01,7.0669181409e-01,-2.3259016716e-03,9.3113959170e-03,1.8289429415e-03
1110.0000,2.8328592992e-02,1.1006773551e+01,7.2510849689e-01,-2.3578659302e-03,9.2810666673e-03,1.8543753520e-03
1120.0000,4.5904796177e-03,1.1099429779e+01,7.4377894148e-01,-2.3897410192e-03,9.2500672261e-03,1.8796938390e-03
1130.0000,-1.9465896221e-02,1.1191772658e+01,7.6270196493e-01,-2.4215167119e-03,9.2183967165e-03,1.9048896654e-03
1140.0000,-4.3839489232e-02,1.1283795474e+01,7.8187629692e-01,-2.4531827395e-03,9.1860544872e-03,1.9299540904e-03
1150.0000,-6.8529151240e-02,1.1375491507e+01,8.0130057971e-01,-2.4847287942e-03,9.1530401135e-03,1.9548783718e-03
1160.0000,-9.3533630804e-02,1.1466854035e+01,8.2097336813e-01,-2.5161445319e-03,9.1193533975e-03,1.9796537679e-03
1170.0000,-1.1885157287e-01,1.1557876334e+01,8.4089312963e-01,-2.5474195740e-03,9.0849943687e-03,2.0042715403e-03
