Time(s),Range(m),Range_Rate(m/s),Station_ID
17040.0,3805411.090574,-4733.257396223,394
17060.0,3711721.793417,-4634.104172071,394
17080.0,3620111.860951,-4525.203361928,394
17100.0,3530783.496075,-4405.82852952,394
17120.0,3443953.483378,-4275.237517959,394
17140.0,3359853.897534,-4132.664707959,394
17160.0,3278731.870676,-3977.35112598,394
17180.0,3200849.679442,-3808.562818101,394
17200.0,3126483.804099,-3625.60877469,394
17220.0,3055923.94285,-3427.871436158,394
17240.0,2989470.793605,-3214.86181833,394
17260.0,2927433.585077,-2986.239076697,394
17280.0,2870126.197636,-2741.877462567,394
17300.0,2817862.724732,-2481.89369776,394
17320.0,2770951.918502,-2206.708200659,394
17340.0,2729690.750294,-1917.083146794,394
17360.0,2694357.336971,-1614.148657526,394
17380.0,2665203.534846,-1299.410756461,394
17400.0,2642447.183771,-974.743232182,394
17420.0,2626265.284508,-642.359329262,394
17440.0,2616787.672656,-304.750079858,394
17460.0,2614092.318541,35.40590065,394
17480.0,2618202.383517,375.328637486,394
17500.0,2629085.377768,712.241628991,394
17520.0,2646654.344924,1043.497007681,394
17540.0,2670771.177097,1366.645097771,394
17560.0,2701251.69338,1679.536112158,394
17580.0,2737872.002331,1980.352543656,394
17600.0,2780375.627008,2267.656275765,394
17620.0,2828481.102707,2540.392912969,394
17640.0,2881889.422006,2797.856010836,394
17660.0,2940291.023123,3039.684533646,394
17680.0,3003371.964283,3265.802156099,394
17700.0,3070819.409835,3476.379153191,394
17720.0,3142325.953987,3671.784024221,394
17740.0,3217593.072652,3852.533622395,394
17760.0,3296333.738292,4019.252985122,394
17780.0,3378274.309154,4172.641912202,394
17800.0,3463155.471323,4313.440511298,394
17820.0,3405271.403223,-3046.336652142,337
17840.0,3346606.89203,-2817.929391788,337
17860.0,3292640.785809,-2576.542349225,337
17880.0,3243629.462328,-2322.526788812,337
17900.0,3199820.130105,-2056.460335193,337
17920.0,3161445.918537,-1779.168388398,337
17940.0,3128721.109422,-1491.722834409,337
17960.0,3101835.934498,-1195.442662926,337
17980.0,3080951.921495,-891.882459871,337
18000.0,3066197.491575,-582.79577731,337
18020.0,3057664.162551,-270.100133215,337
18040.0,3055403.972136,44.17637463,337
18060.0,3059427.8388,357.953959737,337
18080.0,3069705.026841,669.172393373,337
18100.0,3086164.349904,975.840886773,337
18120.0,3108695.896619,1276.101554092,337
18140.0,3137154.480584,1568.282502292,337
18160.0,3171363.540637,1850.922953765,337
18180.0,3211119.698085,2122.808227183,337
18200.0,3256197.714718,2382.971274151,337
18220.0,3306355.576133,2630.69362534,337
18240.0,3361339.321667,2865.496445077,337
18260.0,3420887.556124,3087.117901959,337
18280.0,3484735.668091,3295.487867976,337
18300.0,3552619.306775,3490.699703695,337
18320.0,3624277.51621,3672.991368214,337
18340.0,3699455.13048,3842.706946059,337
